Veh_ID depot_x depot_y capacity
1 50 50 50
2 50 50 40
3 50 50 70
4 50 50 40
5 50 50 70
6 50 50 50
7 50 50 40
8 50 50 50
9 50 50 50
10 50 50 40
11 50 50 40
12 50 50 70
13 50 50 50
14 50 50 40
15 50 50 40
16 50 50 70
17 50 50 40
18 50 50 50
19 50 50 50
20 50 50 50
21 50 50 40
22 50 50 40
23 50 50 50
24 50 50 50
25 50 50 50
26 50 50 40
27 50 50 70
28 50 50 70
29 50 50 70
30 50 50 40
31 50 50 40
32 50 50 70
33 50 50 70
34 50 50 50
35 50 50 40
36 50 50 50
37 50 50 40
38 50 50 70
39 50 50 50
40 50 50 40
41 50 50 50
42 50 50 40
43 50 50 40
44 50 50 50
45 50 50 50
46 50 50 70
47 50 50 70
48 50 50 50
49 50 50 40
50 50 50 40
51 50 50 40
52 50 50 70
53 50 50 70
54 50 50 40
55 50 50 70
56 50 50 50
57 50 50 50
58 50 50 50
59 50 50 40
60 50 50 40
61 50 50 70
62 50 50 50
63 50 50 70
64 50 50 70
65 50 50 50
66 50 50 70
67 50 50 70
68 50 50 70
69 50 50 70
70 50 50 50
71 50 50 50
72 50 50 40
73 50 50 70
74 50 50 40
75 50 50 50
76 50 50 50
77 50 50 50
78 50 50 40
79 50 50 70
80 50 50 40
81 50 50 50
82 50 50 70
83 50 50 50
84 50 50 50
85 50 50 40
86 50 50 40
87 50 50 70
88 50 50 40
89 50 50 50
90 50 50 50
91 50 50 50
92 50 50 50
93 50 50 50
94 50 50 50
95 50 50 70
96 50 50 70
97 50 50 70
98 50 50 50
99 50 50 70
100 50 50 70
101 50 50 50
102 50 50 40
103 50 50 70
104 50 50 70
105 50 50 50
106 50 50 40
107 50 50 40
108 50 50 70
109 50 50 70
110 50 50 70
111 50 50 40
112 50 50 40
113 50 50 50
114 50 50 70
115 50 50 70
116 50 50 70
117 50 50 40
118 50 50 40
119 50 50 50
120 50 50 50
